Audit Board,Batch Name,Ballot Number,Storage Location,Tabulator,Ticket Numbers,Already Audited,Bennet,Biden,Bloomberg,Booker,Buttigieg,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Write-In,O/U,,Dodge,Rountree,O/U,,Scearce,Setzer,O/U,,Nonpartisan,Total Ballots,,Bennet,Biden,Bloomberg,Booker,Buttigieg,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Write-In,O/U,,Dodge,Rountree,O/U,,Scearce,Setzer,O/U,,Nonpartisan,,,
Audit Board #3,B0068,150,,,0.002849397,N,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,B0081,38,,,0.002316148,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,B0085,141,,,0.001626320,N,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,B0093,51,,,0.002746584,N,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,B0096,148,,,0.001198678,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,B0131,55,,,0.001277342,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,B0131,75,,,0.000547712,N,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,B0132,184,,,0.002698726,N,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,B0139,133,,,0.001555389,N,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,B0142,17,,,0.000813519,N,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,B0142,93,,,0.001714624,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,EARLY-2A,58,,,0.002462201,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,EARLY-2A,194,,,0.003038537,N,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,EARLY-2A,516,,,0.002943549,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,EARLY-2B,90,,,0.000346082,N,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,EARLY-2B,172,,,0.002123676,N,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,EARLY-2B,297,,,0.001580697,N,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,EARLY-2B,328,,,0.002840591,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,EARLY-2B,395,,,0.001925632,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,EARLY-2B,464,,,0.001933967,N,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,PROV-1,169,,,0.002990595,N,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #3,PROV-1,188,,,0.001330926,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,A0007,148,,,0.002553084,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,0,19,1,0,0,0,0,0,2,0,0,0,1,0,9,9,5,0,2,5,0,0,0,,,
Audit Board #4,A0007,188,,,0.001953281,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,A0011,24,,,0.002446008,N,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,A0011,180,,,0.000690567,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,A0019,50,,,0.003108241,N,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,A0025,71,,,0.000212832,N,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,A0042,63,,,0.001158216,N,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,A0053,195,,,0.000083569,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,A0057,197,,,0.001999864,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,A0060,3,,,0.000984430,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,A0062,9,,,0.002775437,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,A0068,73,,,0.001587098,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,A0078,184,,,0.000388803,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,A0094,27,,,0.000018061,N,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,A0094,44,,,0.001989999,N,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,A0094,49,,,0.002897828,N,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,A0102,116,,,0.001391698,N,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,A0104,30,,,0.001778986,N,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,A0107,64,,,0.000709300,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,A0107,155,,,0.002369808,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,A0122,60,,,0.001406161,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,A0122,158,,,0.002021678,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,A0132,74,,,0.000863103,N,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,A0132,99,,,0.001072903,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,A0132,151,,,0.003165735,N,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,A0133,7,,,0.002662215,N,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,A0136,12,,,0.002608615,N,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,A0139,184,,,0.001936992,N,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,A0140,121,,,0.001151403,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,A0146,30,,,0.002598887,N,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,A0151,32,,,0.002627937,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,0,13,0,0,0,0,0,0,1,0,0,0,0,0,8,6,0,0,5,7,2,0,2,,,
Audit Board #4,A0151,74,,,0.000098652,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,AAI-04,189,,,0.002432280,N,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,AAI-06,125,,,0.001617160,N,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,B0007,42,,,0.001814897,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,B0025,194,,,0.000223250,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,B0036,35,,,0.000858402,N,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,B0084,114,,,0.000266026,N,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,B0092,63,,,0.000062352,N,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,B0092,153,,,0.001707091,N,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,B0094,118,,,0.000214625,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,B0094,178,,,0.000544493,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,B0100,9,,,0.002150200,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,B0100,13,,,0.001481288,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,B0123,169,,,0.001517783,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,B0124,90,,,0.001357774,N,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,B0124,95,,,0.002840233,N,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,B0124,175,,,0.001605444,N,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,B0134,52,,,0.000893669,N,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,B0140,135,,,0.001613742,N,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,B0140,143,,,0.000669863,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,B0146,142,,,0.002961209,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,EARLY-3A,333,,,0.002967050,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,EARLY-3A,494,,,0.002103582,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,EARLY-3A,540,,,0.001866670,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,EARLY-3A,566,,,0.001661119,N,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,EARLY-4,116,,,0.000576479,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,EARLY-6,344,,,0.001888002,N,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,EARLY-6,384,,,0.003032824,N,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #4,EARLY-6,667,,,0.002330398,N,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,118,4,0,2,0,1,0,20,0,4,0,4,0,89,51,13,0,20,49,11,0,7,2,0,0,13,0,0,1,0,0,0,3,0,1,0,2,0,14,5,1,0,3,7,0,0,0,,,
,,Round 1,0,118,4,0,2,0,1,0,20,0,4,1,3,,89,51,13,,20,49,11,,7,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
